date,price
1/12/2014,1200.44
1/1/2015,1249.333
2/1/2015,1231.1
3/1/2015,1180.636
4/1/2015,1198.253
5/1/2015,1197.684
6/1/2015,1182.248
7/1/2015,1131.58
8/1/2015,1117.525
9/1/2015,1124.905
10/1/2015,1157.123
11/1/2015,1088.388
12/1/2015,1068.317
1/1/2016,1095.655
2/1/2016,1194.893
3/1/2016,1246.312
4/1/2016,1241.452
5/1/2016,1259.755
6/1/2016,1273.58
7/1/2016,1337.429
8/1/2016,1340.861
9/1/2016,1326.618
10/1/2016,1268.929
11/1/2016,1240.293
12/1/2016,1152.165
1/1/2017,1192.648
2/1/2017,1233.39
3/1/2017,1231.063
4/1/2017,1267.15
5/1/2017,1245.25
6/1/2017,1261.277
7/1/2017,1235.1
8/1/2017,1281.72
9/1/2017,1317.045
10/1/2017,1280.677
11/1/2017,1283.189
12/1/2017,1265.674
1/1/2018,1332.809
2/1/2018,1333.775
3/1/2018,1325.56
4/1/2018,1334.38
5/1/2018,1303.61
6/1/2018,1282.13
7/1/2018,1238.06
8/1/2018,1201.86
9/1/2018,1199.2
10/1/2018,1214.73
11/1/2018,1221.28
12/1/2018,1249.89
1/1/2019,1291.63
2/1/2019,1319.76
3/1/2019,1302.29
4/1/2019,1287.65
5/1/2019,1283.11
6/1/2019,1358.49
7/1/2019,1313.61
8/1/2019,1497.1
9/1/2019,1510.34
10/1/2019,1497.77
11/1/2019,1471.92
12/1/2019,1480.03
1/1/2020,1560.67
2/1/2020,1598.82
3/1/2020,1593.76
4/1/2020,1680.03
5/1/2020,1715.7
6/1/2020,1734.03
7/1/2020,1840.81
8/1/2020,1971.17
9/1/2020,193.48
10/1/2020,1902.53
11/1/2020,1869.5
12/1/2020,1853.8
1/1/2021,1869.67
2/1/2021,1814.01
3/1/2021,1721.56
4/1/2021,1758.8
5/1/2021,1847.56
6/1/2021,1836.1
7/1/2021,1805.87
8/1/2021,1784.09
9/1/2021,1780.95
10/1/2021,1774.5
11/1/2021,1820.29
12/1/2021,1788.63
1/1/2022,1816.31
2/1/2022,1857.72
3/1/2022,1947.42
4/1/2022,1935.04
5/1/2022,1851.54
